,exposure,fwhmX,fwhmY,overallFwhm,airmass,filter_band,dimm_seeing,corr_fwhm
0,99,1.1435347473739679,1.0239602140448734,1.0809619972843978,1.036637714261325,r,0.734760165214539,1.1054467608304757
1,100,1.1138070659988648,1.1457541943166836,1.1278530308691084,1.036689655099615,r,0.749966025352478,1.1533652452479375
2,101,1.1486869100877244,1.2533094312751498,1.1998583706260149,1.036713986240165,r,0.744167029857635,1.2269820789016375
3,102,1.0504338314492805,1.1282736800378494,1.0886349294991107,1.0367419355748448,r,0.744167029857635,1.1132263404049438
4,103,0.9948725942540653,1.0702002505645247,1.0286878136897266,1.0367736309464899,r,0.79316508769989,1.051905770915147
5,104,0.998777710174754,1.0554092706902134,1.0260101910963317,1.036808981237245,r,0.79316508769989,1.0491462500024649
6,105,1.0912207565036576,1.1772647528247508,1.1334006016893365,1.03684787150529,r,0.741795778274536,1.15893218262681
7,106,1.0927551824561008,1.1347031406631192,1.113519366280841,1.03689038626572,r,0.741795778274536,1.1385750806513684
8,107,1.0884584606548529,1.1276390160818142,1.1048573107297053,1.036936655506885,r,0.684867382049561,1.1296878711386968
9,108,1.0953982121689507,1.138230710013149,1.113793683982454,1.036986616758695,r,0.684867382049561,1.138792159451705
10,109,1.0618087683555009,1.1924158352155012,1.1234154462130885,1.03704023536895,r,0.771083831787109,1.1485942434673717
