,exposure,DateTime,fwhmX,fwhmY,overallFwhm,airmass,filter_band,corr_dimm_seeing
0,136,2022-05-27T02:43:30.313,1.3598416943381118,1.44277391560582,1.4004351547580804,1.550135729895925,r,1.5243473141909818
1,137,2022-05-27T02:44:02.886,1.2733416259192716,1.323339637700609,1.2979443294673652,1.550173448204595,r,1.5243695685735925
2,138,2022-05-27T02:44:35.439,1.335956156602261,1.3927247982219981,1.358265777212261,1.55021315652236,r,1.235395814321937
3,139,2022-05-27T02:45:08.002,1.320462464397404,1.3474674503016295,1.3337864639462989,1.5502545583910452,r,1.2354156106016412
4,140,2022-05-27T02:45:40.568,1.4171396168151842,1.4988716065393541,1.455932816742157,1.550298234776145,r,1.2659428285939895
5,141,2022-05-27T02:46:13.129,1.393241234524626,1.4533276266441142,1.4228719472174542,1.55034390305953,r,1.2659652035515079
6,142,2022-05-27T02:46:45.690,1.408662464054635,1.4461819412021224,1.4270765393406852,1.55039156582286,r,1.2796552955974874
7,143,2022-05-27T02:47:18.245,1.6803773621643183,1.6580796031438185,1.6683960530798776,1.550440908742285,r,1.372664791262314
8,144,2022-05-27T02:47:50.806,1.439785362950747,1.5650598636105502,1.5009788776626385,1.550492505633535,r,1.3726921995037384
9,145,2022-05-27T02:48:23.362,1.419118613164238,1.534797479099053,1.4758143379094142,1.55054613668246,r,1.4730314720401398
