,exposures,azimuth,elevation,delta_ra,delta_dec,delta_az,delta_el,pointing_distance,delta_x [pixels],delta_y [pixels],delta_r [pixels]
0,2022050500291,359.176665473467,29.7035174652119,2.4633344271137503,1.5083935483062305,-434.9842814534213,-326.29313607416606,2.6088734628210313,-2.645981369013446,-0.2827905344962592,2.6610501482623263
1,2022050500293,15.376505185515303,48.2121441348427,4.248525268167214,3.0191927157659393,-782.4641930474443,-134.82868135267267,5.154109670167449,-5.200326025567254,-0.16623527384401648,5.202982311949763
2,2022050500295,21.2153469813347,72.202083973476,3.157603372142148,4.952406399020504,-2028.034382680022,-62.37331780452564,5.828099474663158,-5.853166246893437,-0.559157628493893,5.879813973866479
3,2022050500297,22.1970292222977,34.0951836689492,5.151413600049182,2.0429753895129465,-490.80994127831445,-87.2354080027975,5.179020198444252,-5.1466131875508525,-0.9545007979876188,5.234376665433177
4,2022050500299,33.6299420190335,44.2324084623833,3.2765231258281347,2.2015416518158304,-621.4033910112164,31.72719433724751,3.9093926892246955,-3.7391632655715266,-1.3346730536879248,3.9702259490915845
5,2022050500301,44.7618993413926,24.8448174282094,-2.0482072819618224,5.40589092971544,-318.9119343857641,86.21716125221326,5.736906930908514,3.269333352540168,-4.7281218974863375,5.748363005893185
6,2022050500303,45.2904335451458,53.7499343438976,4.180905435976001,4.609698805652762,-773.6687900375415,143.911212168382,6.220568369252939,-5.308770588087217,-3.3665945875811243,6.28625518683981
7,2022050500305,46.1639132392884,82.9865807874885,7.156212269728712,1.807059845222625,-4307.733608386255,170.75359414931768,6.727398518584777,-6.219566204418933,2.628536763699986,6.752200329468352
8,2022050500307,55.9811290395592,35.6771688743611,1.4720016515525458,-0.5994205198600611,-376.10655957126085,194.54163022655564,1.5823446259431728,-1.5975829841552789,0.2713168241075786,1.620458024851711
9,2022050500309,67.3208618951176,33.5023618324776,1.1656365035946692,-1.2751977496582578,-290.0413055382671,254.97335331207012,1.7276666104771488,-1.5720125081723233,0.7654405061081155,1.7484628947281915
10,2022050500311,66.4853788209293,69.60061392028,3.8095466610002404,-2.755078429970581,-983.003859698465,288.63226843270127,4.508970778314405,-2.992400129278184,3.3665790061959973,4.504254959331645
11,2022050500313,75.0025770855282,57.2478299423092,6.014538521856139,-1.1031708798043383,-466.4869350912909,312.2524496913826,5.842056518850411,-5.84706404751749,0.6557921916179421,5.883725127362654
12,2022050500315,78.7325302553363,39.8744008525391,4.614379058898521,-2.7041673823241297,-248.98718833505882,305.49531009771727,5.275097498728167,-5.228224423086694,0.9458440324174466,5.313092465958021
13,2022050500317,89.6662803781219,25.3689528091927,3.911554248043103,-5.056903151071879,-124.92236087670676,301.0290474488997,6.340426371294276,-6.140969117543911,1.7044815601784713,6.373127889162156
14,2022050500319,101.119920392041,47.9705517574184,2.9322543067564766,-5.434757524986367,-49.29185630503525,332.1666806277136,6.010053664588108,-4.864356147939802,3.546344218873562,6.019843690058544
15,2022050500321,105.333521444802,49.2747910900944,0.5431767363575091,-6.329165329778164,-0.7204968899770847,337.2551848189829,6.3459250258579445,-3.6304116395575803,5.189689494419404,6.333463959092393
16,2022050500323,112.562575418953,23.6181824489613,2.111024535031447,-7.771177701727083,-12.162387719388335,262.3789941048315,7.98211280779962,-6.763108821316672,4.266396926847306,7.996360651345306
